
------------------------------------------------------------------

FeederID                             DIENLOC-472         
                       
Start DateTime                       08-08-2025  12:19:00:PM                                                                              

F09_PC03_DUONGDAY_TT OBJECTID-OH_5344     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_5344     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_5344     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_5345     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_5345     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_5345     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_5346     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_5346     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_5346     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_5347     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_5347     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_5347     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_5591     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_5591     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_5591     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_11501     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_11501     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_11501     Data Not Avilable in ConductorMaterial/MaHieu

PC03_FCO IDTBDC-405PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-422PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-69PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-100PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-133PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-401PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-341PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-45PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-211PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-59PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-87PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-413PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-214PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-250PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-335PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-82PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-58PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-338PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-67PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-348PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-198PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-432PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-52PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-115PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-421PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-435PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-386PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-55PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-220PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-367PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-423PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-94PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-191PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-347PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-385PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-190PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-369PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-240PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-134PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-239PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-374PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-418PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-81PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-329PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-40PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-142PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-352PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-368PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-79PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-327PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-243PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-26PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-343PC03CC     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-173PC03HH     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-424PC03HH     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-444PC03HH     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-323PC03HH     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-364PC03HH     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-200PC03HH     Data Not Avilable in IDinhMuc

PC03_LBS IDTBDC-266PC03CC     Data Not Avilable in IDinhMuc
PC03_LBS IDTBDC-266PC03CC     Data Not Avilable in LoaiLBS
PC03_LBS IDTBDC-277PC03CC     Data Not Avilable in IDinhMuc
PC03_LBS IDTBDC-277PC03CC     Data Not Avilable in LoaiLBS
PC03_LBS IDTBDC-274PC03CC     Data Not Avilable in IDinhMuc
PC03_LBS IDTBDC-274PC03CC     Data Not Avilable in LoaiLBS
PC03_LBS IDTBDC-263PC03CC     Data Not Avilable in IDinhMuc
PC03_LBS IDTBDC-263PC03CC     Data Not Avilable in LoaiLBS
PC03_LBS IDTBDC-269PC03CC     Data Not Avilable in IDinhMuc
PC03_LBS IDTBDC-269PC03CC     Data Not Avilable in LoaiLBS

Status = Import Successful


End DateTime                         08-08-2025  12:19:55:PM
