
[OVERHEADLINE SETTING]
FORMAT_OVERHEADLINESETTING=SectionID,DeviceNumber,DeviceStage,Flags,InitFromEquipFlags,LineCableID,Length,ConnectionStatus,CoordX,CoordY,HarmonicModel,FlowConstraintActive,FlowConstraintUnit,MaximumFlow,SeriesCompensationActive,MaxReactanceMultiplier,SeriesCompensationCost
BB_5014,BB_5014,,0,0,3P_22 KV_ACSR-95SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
BB_5015,BB_5015,,0,0,3P_22 KV_ACSR-95SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
BB_5020,BB_5020,,0,0,3P_22 KV_SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
BB_5021,BB_5021,,0,0,3P_22 KV_SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
BB_5028,BB_5028,,0,0,3P_22 KV_SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
BB_5029,BB_5029,,0,0,3P_22 KV_SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
BB_5046,BB_5046,,0,0,3P_22 KV_ACSR-95SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
BB_5047,BB_5047,,0,0,3P_22 KV_ACSR-95SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
BB_5064,BB_5064,,0,0,3P_22 KV_ACSR-95SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
BB_5065,BB_5065,,0,0,3P_22 KV_ACSR-95SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
BB_5092,BB_5092,,0,0,3P_22 KV_ACSR-95SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
BB_5093,BB_5093,,0,0,3P_22 KV_ACSR-95SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
BB_5108,BB_5108,,0,0,3P_22 KV_ACSR-95SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
BB_5109,BB_5109,,0,0,3P_22 KV_ACSR-95SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
BB_5110,BB_5110,,0,0,3P_22 KV_SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
BB_5111,BB_5111,,0,0,3P_22 KV_SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
BB_5118,BB_5118,,0,0,3P_22 KV_ACV-70SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
BB_5119,BB_5119,,0,0,3P_22 KV_ACV-70SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
BB_5142,BB_5142,,0,0,3P_22 KV_SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
BB_5143,BB_5143,,0,0,3P_22 KV_SQMM,0.50000000,0,0,0,2,0,0,100,0,50,0
