
------------------------------------------------------------------

FeederID                             E7-473         
                       
Start DateTime                       08-08-2025  12:19:00:PM                                                                              

F09_PC03_DUONGDAY_TT OBJECTID-OH_3821     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3821     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_3821     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3846     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3846     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_3846     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3847     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3847     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_3847     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3931     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3931     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_3931     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3932     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3932     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_3932     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3949     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3949     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_3949     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3950     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3950     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_3950     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3987     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3987     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_3987     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3988     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3988     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_3988     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3989     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3989     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_3989     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_3990     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_3990     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_3990     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_4059     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_4059     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_4059     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_4060     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_4060     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_4060     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_4115     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_4115     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_4115     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_4116     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_4116     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_4116     Data Not Avilable in ConductorMaterial/MaHieu
