[GENERAL]
DATE=August 08, 2025 at 12:19:50
CYME_VERSION=8.00
CYMDIST_REVISION=01
              
[SI]

[NODE]
FORMAT_NODE=NodeID,CoordX,CoordY
767794.559357358_1833557.92308497,767794.559357358,1833557.92308497
767795.359315047_1833557.93131276,767795.359315047,1833557.93131276
767811.02558361_1834495.5017788,767811.02558361,1834495.5017788
767811.03353899_1834494.70181836,767811.03353899,1834494.70181836
767811.038514474_1834494.20150403,767811.038514474,1834494.20150403
767811.043595337_1834493.70130174,767811.043595337,1834493.70130174
767823.496148065_1834206.10443629,767823.496148065,1834206.10443629
767938.657993217_1828257.0017348,767938.657993217,1828257.0017348
767961.072153728_1828351.4672277,767961.072153728,1828351.4672277
767976.781022558_1834165.28770492,767976.781022558,1834165.28770492
767976.786000704_1834164.78739023,767976.786000704,1834164.78739023
767976.791082846_1834164.28729826,767976.791082846,1834164.28729826
767976.799212358_1834163.48733957,767976.799212358,1834163.48733957
767978.779557084_1834184.80072686,767978.779557084,1834184.80072686
767991.619241403_1828353.70258043,767991.619241403,1828353.70258043
767992.118287728_1828353.66683812,767992.118287728,1828353.66683812
768011.353136266_1834184.43320294,768011.353136266,1834184.43320294
768030.499388637_1834258.75053914,768030.499388637,1834258.75053914
768030.999713004_1834258.75547167,768030.999713004,1834258.75547167
768031.499927837_1834258.76062431,768031.499927837,1834258.76062431
768032.299885397_1834258.76886456,768032.299885397,1834258.76886456
768037.718689092_1833715.8316093,768037.718689092,1833715.8316093
768045.890259927_1834197.82050222,768045.890259927,1834197.82050222
768056.090328594_1833741.44809517,768056.090328594,1833741.44809517
768056.098288239_1833740.64813477,768056.098288239,1833740.64813477
768056.103265294_1833740.14793068,768056.103265294,1833740.14793068
768056.108350502_1833739.64761724,768056.108350502,1833739.64761724
768169.232669723_1833805.07354052,768169.232669723,1833805.07354052
768188.645059862_1833764.00433732,768188.645059862,1833764.00433732
768199.603113822_1834778.96735144,768199.603113822,1834778.96735144
768200.103318454_1834778.97239903,768200.103318454,1834778.97239903
768200.603524476_1834778.97733591,768200.603524476,1834778.97733591
768201.403485515_1834778.98523128,768201.403485515,1834778.98523128
768209.021772867_1833716.22350745,768209.021772867,1833716.22350745
768215.597453671_1834837.15487691,768215.597453671,1834837.15487691
768231.971191548_1833565.67936476,768231.971191548,1833565.67936476
768232.771152647_1833565.68725403,768232.771152647,1833565.68725403
768233.271280345_1833565.69218632,768233.271280345,1833565.69218632
768233.771513431_1833565.69723067,768233.771513431,1833565.69723067
768319.611537248_1833453.28168542,768319.611537248,1833453.28168542
768319.791018875_1833452.81489092,768319.791018875,1833452.81489092
768366.875898874_1828418.09500316,768366.875898874,1828418.09500316
768366.880863623_1828417.59480023,768366.880863623,1828417.59480023
768366.885722958_1828417.09448526,768366.885722958,1828417.09448526
768366.893492633_1828416.29452299,768366.893492633,1828416.29452299
768408.608391809_1833833.5289113,768408.608391809,1833833.5289113
768408.613377437_1833833.02870612,768408.613377437,1833833.02870612
768408.618364449_1833832.52839022,768408.618364449,1833832.52839022
768408.626338234_1833831.72842996,768408.626338234,1833831.72842996
768443.091338854_1833143.79329591,768443.091338854,1833143.79329591
768443.096324138_1833143.29298016,768443.096324138,1833143.29298016
768443.101309418_1833142.79266442,768443.101309418,1833142.79266442
768443.109280436_1833141.99270413,768443.109280436,1833141.99270413
768526.995295657_1834407.3645295,768526.995295657,1834407.3645295
768527.49561823_1834407.36947413,768527.49561823,1834407.36947413
768527.995725885_1834407.37452681,768527.995725885,1834407.37452681
768528.795685058_1834407.38260895,768528.795685058,1834407.38260895
768673.555973403_1829697.50859914,768673.555973403,1829697.50859914
768674.056084632_1829697.51363825,768674.056084632,1829697.51363825
768674.556409444_1829697.51868005,768674.556409444,1829697.51868005
768675.356368828_1829697.52674128,768675.356368828,1829697.52674128
768743.635282254_1833942.01819788,768743.635282254,1833942.01819788
768792.641827968_1834411.94420386,768792.641827968,1834411.94420386
768792.649990604_1834411.1442455,768792.649990604,1834411.1442455
768792.655096871_1834410.64381882,768792.655096871,1834410.64381882
768792.66009359_1834410.14361222,768792.66009359,1834410.14361222
768807.509356877_1833718.50130137,768807.509356877,1833718.50130137
768837.481960217_1833576.48006129,768837.481960217,1833576.48006129
768837.486953522_1833575.97996559,768837.486953522,1833575.97996559
768837.491844223_1833575.47953642,768837.491844223,1833575.47953642
768837.49966226_1833574.67957462,768837.49966226,1833574.67957462
768838.272395239_1833815.71368507,768838.272395239,1833815.71368507
768838.280384036_1833814.91372496,768838.280384036,1833814.91372496
768838.28537824_1833814.41362915,768838.28537824,1833814.41362915
768838.290375218_1833813.91331194,768838.290375218,1833813.91331194
768894.941805005_1834208.00675671,768894.941805005,1834208.00675671
768917.232077108_1833992.3015654,768917.232077108,1833992.3015654
768933.979137815_1830437.47012783,768933.979137815,1830437.47012783
768933.986940463_1830436.67016588,768933.986940463,1830436.67016588
768933.991820447_1830436.16984836,768933.991820447,1830436.16984836
768933.996805828_1830435.6696429,768933.996805828,1830435.6696429
768956.928344405_1833990.25087009,768956.928344405,1833990.25087009
768983.335410371_1829757.67526932,768983.335410371,1829757.67526932
769007.561932656_1829925.96092181,769007.561932656,1829925.96092181
769015.787076358_1833853.21421558,769015.787076358,1833853.21421558
769033.761129635_1834230.08882343,769033.761129635,1834230.08882343
769033.768957372_1834229.28886173,769033.768957372,1834229.28886173
769033.7738509_1834228.78876381,769033.7738509,1834228.78876381
769033.778748593_1834228.28833376,769033.778748593,1834228.28833376
769058.429364256_1829957.88829274,769058.429364256,1829957.88829274
769242.050967269_1833358.18130491,769242.050967269,1833358.18130491
769242.551318164_1833358.18615204,769242.551318164,1833358.18615204
769243.051560902_1833358.19110856,769243.051560902,1833358.19110856
769243.851521636_1833358.19903475,769243.851521636,1833358.19903475
769280.687555908_1830101.6938832,769280.687555908,1830101.6938832
769281.095114381_1830101.9841196,769281.095114381,1830101.9841196
769364.825185959_1828487.08090321,769364.825185959,1828487.08090321
769364.8331639_1828486.28094299,769364.8331639,1828486.28094299
769364.83815352_1828485.78062624,769364.83815352,1828485.78062624
769364.843034952_1828485.28041888,769364.843034952,1828485.28041888
769421.865793872_1833740.67698786,769421.865793872,1833740.67698786
769504.169974469_1833533.14522403,769504.169974469,1833533.14522403
769544.534698384_1833432.80239584,769544.534698384,1833432.80239584
769544.593863234_1833433.83778761,769544.593863234,1833433.83778761
769544.805876811_1833433.38480658,769544.805876811,1833433.38480658
769545.018001347_1833432.93149473,769545.018001347,1833432.93149473
769545.501304307_1833433.06059365,769545.501304307,1833433.06059365
