[GENERAL]
DATE=August 08, 2025 at 12:20:03
CYME_VERSION=8.00
CYMDIST_REVISION=01
              
[SI]

[NODE]
FORMAT_NODE=NodeID,CoordX,CoordY
757999.899426512_1841366.34784012,757999.899426512,1841366.34784012
758181.551015403_1842276.7637402,758181.551015403,1842276.7637402
758209.643565427_1842240.40232267,758209.643565427,1842240.40232267
758210.443526235_1842240.41024138,758210.443526235,1842240.41024138
758210.943841919_1842240.41519394,758210.943841919,1842240.41519394
758211.444049545_1842240.42025593,758211.444049545,1842240.42025593
758323.833570345_1839894.57330284,758323.833570345,1839894.57330284
758425.072208107_1842984.86812706,758425.072208107,1842984.86812706
758425.080032032_1842984.06816532,758425.080032032,1842984.06816532
758425.084925036_1842983.56787727,758425.084925036,1842983.56787727
758425.08992341_1842983.06770121,758425.08992341,1842983.06770121
758434.149517292_1840120.99401553,758434.149517292,1840120.99401553
758434.484935339_1840121.42423996,758434.484935339,1840121.42423996
758435.066024241_1840122.23842823,758435.066024241,1840122.23842823
758626.950428396_1840701.32986405,758626.950428396,1840701.32986405
758627.450566747_1840701.33492959,758627.450566747,1840701.33492959
758627.95081183_1840701.33999643,758627.95081183,1840701.33999643
758628.750770797_1840701.34809899,758628.750770797,1840701.34809899
758649.49588331_1840673.04837108,758649.49588331,1840673.04837108
758678.449865615_1840680.54217631,758678.449865615,1840680.54217631
758812.234439942_1839655.61280662,758812.234439942,1839655.61280662
758812.239435625_1839655.11263076,758812.239435625,1839655.11263076
758812.244432643_1839654.61234417,758812.244432643,1839654.61234417
758812.252422893_1839653.81238407,758812.252422893,1839653.81238407
758844.552390793_1840471.31186731,758844.552390793,1840471.31186731
758931.779466813_1840369.55247645,758931.779466813,1840369.55247645
758931.784470509_1840369.05207853,758931.784470509,1840369.05207853
758931.789470176_1840368.55201273,758931.789470176,1840368.55201273
758931.797468191_1840367.75205271,758931.797468191,1840367.75205271
758965.012507705_1840198.70349849,758965.012507705,1840198.70349849
