[GENERAL]
DATE=August 08, 2025 at 12:19:10
CYME_VERSION=8.00
CYMDIST_REVISION=01
              
[SI]

[NODE]
FORMAT_NODE=NodeID,CoordX,CoordY
748523.815988889_1841856.44812191,748523.815988889,1841856.44812191
748732.670174557_1843501.30489918,748732.670174557,1843501.30489918
748732.92297422_1843501.73653384,748732.92297422,1843501.73653384
748768.089337067_1843719.48143488,748768.089337067,1843719.48143488
748768.097314815_1843718.68147466,748768.097314815,1843718.68147466
748768.102303714_1843718.18121814,748768.102303714,1843718.18121814
748768.107291316_1843717.68107229,748768.107291316,1843717.68107229
749188.854160452_1843414.9585435,749188.854160452,1843414.9585435
749219.285195672_1843389.18813875,749219.285195672,1843389.18813875
749316.569300332_1843283.42554264,749316.569300332,1843283.42554264
749316.574193922_1843282.92528348,749316.574193922,1843282.92528348
749316.579192925_1843282.42513625,749316.579192925,1843282.42513625
749316.587188576_1843281.62517621,749316.587188576,1843281.62517621
749546.563599556_1837067.09290676,749546.563599556,1837067.09290676
749547.363560351_1837067.10082677,749547.363560351,1837067.10082677
749547.863753577_1837067.10577893,749547.863753577,1837067.10577893
749548.363945512_1837067.11084179,749548.363945512,1837067.11084179
749553.678319967_1843735.65213953,749553.678319967,1843735.65213953
749554.175442216_1843735.59618544,749554.175442216,1843735.59618544
749642.44176872_1843973.02154904,749642.44176872,1843973.02154904
749683.513694729_1836646.64729031,749683.513694729,1836646.64729031
749683.51867974_1836646.14714471,749683.51867974,1836646.14714471
749683.523666043_1836645.64688841,749683.523666043,1836645.64688841
749683.531639644_1836644.84692815,749683.531639644,1836644.84692815
749707.051145584_1843954.4444044,749707.051145584,1843954.4444044
749772.313344541_1837199.79020239,749772.313344541,1837199.79020239
749772.487425169_1837200.25922638,749772.487425169,1837200.25922638
749814.157990319_1837125.35202935,749814.157990319,1837125.35202935
749814.957951012_1837125.35995963,749814.957951012,1837125.35995963
749815.458143714_1837125.36491821,749815.458143714,1837125.36491821
749815.958335121_1837125.36998752,749815.958335121,1837125.36998752
749860.897449182_1837091.76826722,749860.897449182,1837091.76826722
749862.647716976_1844056.26552217,749862.647716976,1844056.26552217
749862.652624731_1844055.76537184,749862.652624731,1844055.76537184
749862.65764049_1844055.26511206,749862.65764049,1844055.26511206
749862.665661134_1844054.46515227,749862.665661134,1844054.46515227
749902.53589531_1841901.74770289,749902.53589531,1841901.74770289
