
[INTERMEDIATE NODES]
FORMAT_INTERMEDIATENODE=SectionID,SeqNumber,CoordX,CoordY,IsBreakPoint,BreakPointLocation
OH_4834,3,756185.324063431,1830980.80237398,,
OH_4834,4,756268.252847859,1830931.08385038,,
OH_4834,5,756344.499731751,1830886.48840511,,
OH_4834,6,756421.324569528,1830838.24850054,,
OH_4834,7,756498.29744007,1830795.6220037,,
OH_4834,8,756573.160300452,1830741.74458036,,
OH_4834,9,756650.852471865,1830683.66080501,,
OH_4834,10,756733.619568672,1830620.87718597,,
OH_4834,11,756810.89410536,1830561.9030133,,
OH_4834,12,756894.415983256,1830498.68603883,,
OH_4835,1,753972.629430132,1828815.90267493,,
OH_4835,2,753946.165467891,1828786.91442276,,
OH_4835,3,753902.167681507,1828741.44375997,,
OH_4835,4,753851.651091786,1828687.26035961,,
OH_4835,5,753796.979578799,1828623.06361782,,
OH_4835,6,753747.370968231,1828573.43061796,,
OH_4835,7,753693.06289973,1828514.66359588,,
OH_4835,8,753640.332789934,1828457.90837551,,
OH_4835,9,753588.642823296,1828403.49040889,,
OH_4835,10,753536.974793178,1828347.19081233,,
OH_4835,11,753473.423599601,1828284.10839991,,
OH_4835,12,753426.900168477,1828235.28655599,,
OH_4835,13,753382.451227699,1828191.023211,,
OH_4835,14,753333.058148797,1828132.54353481,,
OH_4835,15,753267.714988052,1828067.44770336,,
OH_4835,16,753217.220181391,1828011.0523522,,
OH_4835,17,753154.09111268,1827948.41890701,,
OH_4835,18,753095.957930882,1827887.61597043,,
OH_4835,19,753039.601578436,1827830.15550127,,
OH_4835,20,752986.127025744,1827772.83885975,,
OH_4835,21,752941.95447677,1827723.71636606,,
OH_4835,22,752884.344574779,1827663.80484835,,
OH_4835,23,752828.566779164,1827602.47711479,,
OH_4835,24,752778.436870264,1827551.18021014,,
OH_4835,25,752722.844725657,1827492.1799274,,
OH_4835,26,752658.375240182,1827425.2147646,,
OH_4835,27,752596.802154877,1827356.95530614,,
OH_4835,28,752545.807338908,1827306.6442833,,
OH_4835,29,752492.356227262,1827247.00664781,,
OH_4835,30,752443.498357661,1827196.49971882,,
OH_4835,31,752384.859256028,1827133.03735109,,
OH_4836,1,754077.936836794,1828770.4257824,,
OH_4836,2,754083.348764411,1828692.10273565,,
OH_4836,3,754101.015800512,1828597.98162196,,
OH_4836,4,754112.73549527,1828482.97445711,,
OH_4836,5,754103.019815367,1828410.45251705,,
OH_4836,6,754115.750694735,1828327.34352085,,
OH_4836,7,754117.973743953,1828238.68629636,,
OH_4836,8,754124.291187146,1828147.08815722,,
OH_4836,9,754131.45280265,1828056.27490238,,
OH_4836,10,754144.496098577,1828000.84981166,,
OH_4836,11,754193.30149485,1827947.06526499,,
OH_4836,12,754261.942811222,1827868.60330956,,
OH_4836,13,754320.392510879,1827839.07037456,,
OH_4836,14,754384.27572364,1827801.74003098,,
OH_4836,15,754447.24970076,1827805.25202949,,
OH_4836,16,754515.980046759,1827809.60871156,,
OH_4836,17,754566.589099467,1827810.98299326,,
OH_4836,18,754617.185863032,1827831.51106253,,
OH_4836,19,754647.742564924,1827839.62427362,,
OH_4836,20,754687.143439067,1827876.51564522,,
OH_4836,21,754721.408827211,1827905.04373982,,
OH_4836,22,754767.418992241,1827934.04303241,,
OH_4837,1,754928.727646904,1827976.14577217,,
OH_4837,2,755029.163219756,1827981.76575449,,
OH_4837,3,755093.438229133,1827983.52602904,,
OH_4837,4,755159.466928114,1827990.50878788,,
OH_4837,5,755214.969605632,1827993.49400707,,
OH_4837,6,755262.137302099,1827996.8219232,,
OH_4837,7,755331.8202128,1828001.96754188,,
OH_4837,8,755402.606639825,1827995.05846772,,
OH_4837,9,755489.488225524,1828008.82335122,,
OH_4837,10,755548.592712153,1828014.28681395,,
OH_4837,11,755630.148156467,1828026.88079819,,
OH_4837,12,755704.189678339,1828024.66143627,,
OH_4837,13,755774.406642524,1828029.81597544,,
OH_4837,14,755838.579214555,1828031.13231052,,
OH_4837,15,755905.328892458,1828040.34244368,,
OH_4837,16,755937.136050558,1828087.0000224,,
OH_4838,1,751035.412060388,1826461.4848727,,
OH_4838,2,750986.49006704,1826470.87826405,,
OH_4838,3,750936.956623183,1826477.93964609,,
OH_4838,4,750885.605380712,1826485.09065079,,
OH_4838,5,750826.116175378,1826493.9182995,,
OH_4838,6,750784.414706107,1826470.40375032,,
OH_4838,7,750734.476365656,1826438.82193799,,
OH_4838,8,750695.14760768,1826413.23169477,,
OH_4838,9,750658.281505544,1826378.14778745,,
OH_4838,10,750622.918340022,1826342.19797847,,
OH_4838,11,750586.429332336,1826302.1365324,,
OH_4838,12,750552.148909223,1826274.17072135,,
OH_4838,13,750523.653343875,1826244.83217993,,
OH_4838,14,750480.568375712,1826202.48090297,,
OH_4838,15,750441.134701739,1826176.66759095,,
OH_4838,16,750402.468989321,1826149.20360415,,
OH_4838,17,750333.654532475,1826160.91344106,,
OH_4838,18,750282.495947853,1826169.8394969,,
OH_4838,19,750238.681673957,1826180.95484841,,
OH_4838,20,750193.205300935,1826188.06518246,,
OH_4838,21,750140.009984465,1826188.44310068,,
OH_4839,1,750052.062214178,1828378.10018616,,
OH_4839,2,750123.130950834,1828383.13448718,,
OH_4839,3,750180.909632726,1828383.14269973,,
OH_4839,4,750238.616462167,1828389.24066871,,
OH_4839,5,750299.806254791,1828389.62006836,,
OH_4839,6,750368.419886945,1828403.8167872,,
OH_4839,7,750426.952472711,1828412.35948167,,
