
[CUSTOMER LOADS] 
FORMAT_CUSTOMERLOADS=SectionID,DeviceNumber,LoadType,CustomerNumber,CustomerType,ConnectionStatus,LockDuringLoadAllocation,Year,LoadModelID,NormalPriority,EmergencyPriority,ValueType,LoadPhase,Value1,Value2,ConnectedKVA,KWH,NumberOfCustomer,CenterTapPercent,CenterTapPercent2,LoadValue1N1,LoadValue1N2,LoadValue2N1,LoadValue2N2
DT_2202,HD530259,SPOT,2017-066,R,0,0,,,,,2,7,66.35555264,90.4,73.40216,0,1,,,,,,
DT_2066,HD530300,SPOT,20200195,R,0,0,,,,,2,7,8.7542208,67.5,12.969216,0,1,,,,,,
DT_2097,PC-0022D00-TBA7409928,SPOT,0915-127,R,0,0,,,,,2,7,20.15983847,83.57,24.123296,0,1,,,,,,
DT_2011,HD530296,SPOT,203101069,R,0,0,,,,,2,7,6.736963171,99.43,6.775584,0,1,,,,,,
DT_2101,HC530095,SPOT,24010079,R,0,0,,,,,2,7,155.6719854,96.67,161.034432,0,1,,,,,,
DT_2059,HC530101,SPOT,21152656-1,R,0,0,,,,,2,7,38.72377888,96.37,40.1824,0,1,,,,,,
DT_2289,HC530098,SPOT,092108031,R,0,0,,,,,2,7,59.31393344,96.5,61.465216,0,1,,,,,,
DT_2105,HC530081,SPOT,162160093,R,0,0,,,,,2,7,43.16922707,96.1,44.921152,0,1,,,,,,
DT_2148,HD630250,SPOT,630250,R,0,0,,,,,2,7,204.9680253,98.03,209.08704,0,1,,,,,,
DT_2136,HC530138,SPOT,D07966,R,0,0,,,,,2,7,38.74258147,96.6,40.106192,0,1,,,,,,
DT_2292,HC530144,SPOT,8051216466154,R,0,0,,,,,2,7,116.4760786,97.9,118.974544,0,1,,,,,,
DT_2297,HD530301,SPOT,20200197,R,0,0,,,,,2,7,9.702482486,73.17,13.260192,0,1,,,,,,
DT_2178,HC530114,SPOT,8052210465238,R,0,0,,,,,2,7,50.43872205,94.6,53.317888,0,1,,,,,,
DT_2016,HD530298,SPOT,203101137,R,0,0,,,,,2,7,5.029728,100,5.029728,0,1,,,,,,
DT_2039,HC530057,SPOT,06240410,R,0,0,,,,,2,7,96.06346094,95.7,100.379792,0,1,,,,,,
DT_2092,HC530145,SPOT,0304-21,R,0,0,,,,,2,7,74.45942199,95.73,77.780656,0,1,,,,,,
DT_2008,HD530256,SPOT,1015-135,R,0,0,,,,,2,7,13.9426,62.5,22.30816,0,1,,,,,,
DT_2214,HD530293,SPOT,203101358,R,0,0,,,,,2,7,6.171742291,99.87,6.179776,0,1,,,,,,
DT_2037,HD530291,SPOT,203101070,R,0,0,,,,,2,7,10.004032,100,10.004032,0,1,,,,,,
DT_2051,HC530103,SPOT,12710710,R,0,0,,,,,2,7,79.65015948,87.93,90.5836,0,1,,,,,,
DT_2264,HC530113,SPOT,T00009777,R,0,0,,,,,2,7,34.43160576,93,37.023232,0,1,,,,,,
DT_2141,HC530275,SPOT,LVN2030492,R,0,0,,,,,2,7,147.0407186,95.63,153.760032,0,1,,,,,,
DT_2208,HC530115,SPOT,588318-08,R,0,0,,,,,2,7,98.86666138,89.6,110.342256,0,1,,,,,,
DT_2235,HC530141,SPOT,092560203,R,0,0,,,,,2,7,16.33549656,95.5,17.105232,0,1,,,,,,
DT_924,DT_924,SPOT,DT_924,R,0,0,,,,,2,ABC,1187.5,95,1250,0,1,,,,,,
DT_1016,DT_1016,SPOT,DT_1016,R,0,0,,,,,2,ABC,380,95,400,0,1,,,,,,
DT_2020,DT_2020,SPOT,DT_2020,R,0,0,,,,,2,ABC,95,95,100,0,1,,,,,,
DT_2030,DT_2030,SPOT,DT_2030,R,0,0,,,,,2,ABC,237.5,95,250,0,1,,,,,,
DT_2064,DT_2064,SPOT,DT_2064,R,0,0,,,,,2,ABC,47.5,95,50,0,1,,,,,,
DT_2081,DT_2081,SPOT,DT_2081,R,0,0,,,,,2,ABC,95,95,100,0,1,,,,,,
DT_2120,DT_2120,SPOT,DT_2120,R,0,0,,,,,2,ABC,152,95,160,0,1,,,,,,
DT_2162,DT_2162,SPOT,DT_2162,R,0,0,,,,,2,ABC,237.5,95,250,0,1,,,,,,
DT_2259,DT_2259,SPOT,DT_2259,R,0,0,,,,,2,ABC,95,95,100,0,1,,,,,,
